Forename,Surname,Name (Display As),Name (List As),Party,Constituency,Address 1,Address 2,Postcode,Email
Neil,Duncan-Jordan,Neil Duncan-Jordan,"Duncan-Jordan, Neil",Labour,Poole,House of Commons,London,SW1A 0AA,neil.duncanjordan.mp@parliament.uk
Sarah,Dyke,Sarah Dyke,"Dyke, Sarah",Liberal Democrat,Glastonbury and Somerton,House of Commons,London,SW1A 0AA,sarah.dyke.mp@parliament.uk
Angela,Eagle,Dame Angela Eagle,"Eagle, Dame Angela",Labour,Wallasey,House of Commons,London,SW1A 0AA,eaglea@parliament.uk
Maria,Eagle,Maria Eagle,"Eagle, Maria",Labour,Liverpool Garston,House of Commons,London,SW1A 0AA,maria.eagle.mp@parliament.uk
Alex,Easton,Alex Easton,"Easton, Alex",Independent,North Down,House of Commons,London,SW1A 0AA,alex.easton.mp@parliament.uk
Colum,Eastwood,Colum Eastwood,"Eastwood, Colum",Social Democratic & Labour Party,Foyle,House of Commons,London,SW1A 0AA,colum.eastwood.mp@parliament.uk
Sorcha,Eastwood,Sorcha Eastwood,"Eastwood, Sorcha",Alliance,Lagan Valley,House of Commons,London,SW1A 0AA,sorcha.eastwood.mp@parliament.uk
Cat,Eccles,Cat Eccles,"Eccles, Cat",Labour,Stourbridge,House of Commons,London,SW1A 0AA,cat.eccles.mp@parliament.uk
Lauren,Edwards,Lauren Edwards,"Edwards, Lauren",Labour,Rochester and Strood,House of Commons,London,SW1A 0AA,lauren.edwards.mp@parliament.uk
Sarah,Edwards,Sarah Edwards,"Edwards, Sarah",Labour,Tamworth,House of Commons,London,SW1A 0AA,sarah.edwards.mp@parliament.uk
Clive,Efford,Clive Efford,"Efford, Clive",Labour,Eltham and Chislehurst,House of Commons,London,SW1A 0AA,
Damien,Egan,Damien Egan,"Egan, Damien",Labour,Bristol North East,House of Commons,London,SW1A 0AA,damien.egan.mp@parliament.uk
Maya,Ellis,Maya Ellis,"Ellis, Maya",Labour,Ribble Valley,House of Commons,London,SW1A 0AA,maya.ellis.mp@parliament.uk
Chris,Elmore,Chris Elmore,"Elmore, Chris",Labour,Bridgend,House of Commons,London,SW1A 0AA,Chris.Elmore.mp@parliament.uk
Kirith,Entwistle,Kirith Entwistle,"Entwistle, Kirith",Labour,Bolton North East,House of Commons,London,SW1A 0AA,kirith.entwistle.mp@parliament.uk
Florence,Eshalomi,Florence Eshalomi,"Eshalomi, Florence",Labour (Co-op),Vauxhall and Camberwell Green,House of Commons,London,SW1A 0AA,florence.eshalomi.mp@parliament.uk
Bill,Esterson,Bill Esterson,"Esterson, Bill",Labour,Sefton Central,House of Commons,London,SW1A 0AA,bill.esterson.mp@parliament.uk
Chris,Evans,Chris Evans,"Evans, Chris",Labour (Co-op),Caerphilly,House of Commons,London,SW1A 0AA,chris.evans.mp@parliament.uk
Luke,Evans,Dr Luke Evans,"Evans, Dr Luke",Conservative,Hinckley and Bosworth,House of Commons,London,SW1A 0AA,luke.evans.mp@parliament.uk
Miatta,Fahnbulleh,Miatta Fahnbulleh,"Fahnbulleh, Miatta",Labour (Co-op),Peckham,House of Commons,London,SW1A 0AA,miatta.fahnbulleh.mp@parliament.uk
Hamish,Falconer,Mr Hamish Falconer,"Falconer, Mr Hamish",Labour,Lincoln,House of Commons,London,SW1A 0AA,hamish.falconer.mp@parliament.uk
Nigel,Farage,Nigel Farage,"Farage, Nigel",Reform UK,Clacton,House of Commons,London,SW1A 0AA,nigel.farage.mp@parliament.uk
Linsey,Farnsworth,Linsey Farnsworth,"Farnsworth, Linsey",Labour,Amber Valley,House of Commons,London,SW1A 0AA,linsey.farnsworth.mp@parliament.uk
Tim,Farron,Tim Farron,"Farron, Tim",Liberal Democrat,Westmorland and Lonsdale,House of Commons,London,SW1A 0AA,farront@parliament.uk
Josh,Fenton-Glynn,Josh Fenton-Glynn,"Fenton-Glynn, Josh",Labour,Calder Valley,House of Commons,London,SW1A 0AA,josh.fentonglynn.mp@parliament.uk
Mark,Ferguson,Mark Ferguson,"Ferguson, Mark",Labour,Gateshead Central and Whickham,House of Commons,London,SW1A 0AA,mark.ferguson.mp@parliament.uk
Patricia,Ferguson,Patricia Ferguson,"Ferguson, Patricia",Labour,Glasgow West,House of Commons,London,SW1A 0AA,patricia.ferguson.mp@parliament.uk
John,Finucane,John Finucane,"Finucane, John",Sinn Féin,Belfast North,House of Commons,London,SW1A 0AA,john.finucane.mp@parliament.uk
Natalie,Fleet,Natalie Fleet,"Fleet, Natalie",Labour,Bolsover,House of Commons,London,SW1A 0AA,natalie.fleet.mp@parliament.uk
Stephen,Flynn,Stephen Flynn,"Flynn, Stephen",Scottish National Party,Aberdeen South,House of Commons,London,SW1A 0AA,stephen.flynn.mp@parliament.uk
Emma,Foody,Emma Foody,"Foody, Emma",Labour (Co-op),Cramlington and Killingworth,House of Commons,London,SW1A 0AA,emma.foody.mp@parliament.uk
Catherine,Fookes,Catherine Fookes,"Fookes, Catherine",Labour,Monmouthshire,House of Commons,London,SW1A 0AA,catherine.fookes.mp@parliament.uk
Richard,Foord,Richard Foord,"Foord, Richard",Liberal Democrat,Honiton and Sidmouth,House of Commons,London,SW1A 0AA,richard.foord.mp@parliament.uk
Will,Forster,Mr Will Forster,"Forster, Mr Will",Liberal Democrat,Woking,House of Commons,London,SW1A 0AA,will.forster.mp@parliament.uk
Peter,Fortune,Peter Fortune,"Fortune, Peter",Conservative,Bromley and Biggin Hill,House of Commons,London,SW1A 0AA,peter.fortune.mp@parliament.uk
Paul,Foster,Mr Paul Foster,"Foster, Mr Paul",Labour,South Ribble,House of Commons,London,SW1A 0AA,paul.foster.mp@parliament.uk
Ashley,Fox,Sir Ashley Fox,"Fox, Sir Ashley",Conservative,Bridgwater,House of Commons,London,SW1A 0AA,ashley.fox.mp@parliament.uk
Vicky,Foxcroft,Vicky Foxcroft,"Foxcroft, Vicky",Labour,Lewisham North,House of Commons,London,SW1A 0AA,vicky.foxcroft.mp@parliament.uk
Mary,Kelly Foy,Mary Kelly Foy,"Foy, Mary Kelly",Labour,City of Durham,House of Commons,London,SW1A 0AA,mary.foy.mp@parliament.uk
Daniel,Francis,Daniel Francis,"Francis, Daniel",Labour,Bexleyheath and Crayford,House of Commons,London,SW1A 0AA,daniel.francis.mp@parliament.uk
Mark,Francois,Mr Mark Francois,"Francois, Mr Mark",Conservative,Rayleigh and Wickford,House of Commons,London,SW1A 0AA,mark.francois.mp@parliament.uk
Zöe,Franklin,Zöe Franklin,"Franklin, Zöe",Liberal Democrat,Guildford,House of Commons,London,SW1A 0AA,zoe.franklin.mp@parliament.uk
George,Freeman,George Freeman,"Freeman, George",Conservative,Mid Norfolk,House of Commons,London,SW1A 0AA,george.freeman.mp@parliament.uk
Louie,French,Mr Louie French,"French, Mr Louie",Conservative,Old Bexley and Sidcup,House of Commons,London,SW1A 0AA,louie.french.mp@parliament.uk
James,Frith,Mr James Frith,"Frith, Mr James",Labour,Bury North,House of Commons,London,SW1A 0AA,james.frith.mp@parliament.uk
Richard,Fuller,Richard Fuller,"Fuller, Richard",Conservative,North Bedfordshire,House of Commons,London,SW1A 0AA,richard.fuller.mp@parliament.uk
Gill,Furniss,Gill Furniss,"Furniss, Gill",Labour,Sheffield Brightside and Hillsborough,House of Commons,London,SW1A 0AA,gill.furniss.mp@parliament.uk
Roger,Gale,Sir Roger Gale,"Gale, Sir Roger",Conservative,Herne Bay and Sandwich,House of Commons,London,SW1A 0AA,galerj@parliament.uk
Barry,Gardiner,Barry Gardiner,"Gardiner, Barry",Labour,Brent West,House of Commons,London,SW1A 0AA,barry.gardiner.mp@parliament.uk
Allison,Gardner,Dr Allison Gardner,"Gardner, Dr Allison",Labour,Stoke-on-Trent South,House of Commons,London,SW1A 0AA,allison.gardner.mp@parliament.uk
Mark,Garnier,Mark Garnier,"Garnier, Mark",Conservative,Wyre Forest,House of Commons,London,SW1A 0AA,mark.garnier.mp@parliament.uk
Anna,Gelderd,Anna Gelderd,"Gelderd, Anna",Labour,South East Cornwall,House of Commons,London,SW1A 0AA,anna.gelderd.mp@parliament.uk
Alan,Gemmell,Alan Gemmell,"Gemmell, Alan",Labour,Central Ayrshire,House of Commons,London,SW1A 0AA,alan.gemmell.mp@parliament.uk
Andrew,George,Andrew George,"George, Andrew",Liberal Democrat,St Ives,House of Commons,London,SW1A 0AA,andrew.george.mp@parliament.uk
Gill,German,Gill German,"German, Gill",Labour,Clwyd North,House of Commons,London,SW1A 0AA,gill.german.mp@parliament.uk
Stephen,Gethins,Stephen Gethins,"Gethins, Stephen",Scottish National Party,Arbroath and Broughty Ferry,House of Commons,London,SW1A 0AA,stephen.gethins.mp@parliament.uk
Nusrat,Ghani,Ms Nusrat Ghani,"Ghani, Ms Nusrat",Conservative,Sussex Weald,House of Commons,London,SW1A 0AA,nusrat.ghani.mp@parliament.uk
Sarah,Gibson,Sarah Gibson,"Gibson, Sarah",Liberal Democrat,Chippenham,House of Commons,London,SW1A 0AA,sarah.gibson.mp@parliament.uk
Tracy,Gilbert,Tracy Gilbert,"Gilbert, Tracy",Labour,Edinburgh North and Leith,House of Commons,London,SW1A 0AA,tracy.gilbert.mp@parliament.uk
Preet,Kaur Gill,Preet Kaur Gill,"Gill, Preet Kaur",Labour (Co-op),Birmingham Edgbaston,House of Commons,London,SW1A 0AA,preet.gill.mp@parliament.uk
Rachel,Gilmour,Rachel Gilmour,"Gilmour, Rachel",Liberal Democrat,Tiverton and Minehead,House of Commons,London,SW1A 0AA,rachel.gilmour.mp@parliament.uk
Becky,Gittins,Becky Gittins,"Gittins, Becky",Labour,Clwyd East,House of Commons,London,SW1A 0AA,becky.gittins.mp@parliament.uk
John,Glen,John Glen,"Glen, John",Conservative,Salisbury,House of Commons,London,SW1A 0AA,john.glen.mp@parliament.uk
Mary,Glindon,Mary Glindon,"Glindon, Mary",Labour,Newcastle upon Tyne East and Wallsend,House of Commons,London,SW1A 0AA,mary.glindon.mp@parliament.uk
Olly,Glover,Olly Glover,"Glover, Olly",Liberal Democrat,Didcot and Wantage,House of Commons,London,SW1A 0AA,olly.glover.mp@parliament.uk
Marie,Goldman,Marie Goldman,"Goldman, Marie",Liberal Democrat,Chelmsford,House of Commons,London,SW1A 0AA,marie.goldman.mp@parliament.uk
Ben,Goldsborough,Ben Goldsborough,"Goldsborough, Ben",Labour,South Norfolk,House of Commons,London,SW1A 0AA,ben.goldsborough.mp@parliament.uk
Tom,Gordon,Tom Gordon,"Gordon, Tom",Liberal Democrat,Harrogate and Knaresborough,House of Commons,London,SW1A 0AA,tom.gordon.mp@parliament.uk
Jodie,Gosling,Jodie Gosling,"Gosling, Jodie",Labour,Nuneaton,House of Commons,London,SW1A 0AA,jodie.gosling.mp@parliament.uk
Georgia,Gould,Georgia Gould,"Gould, Georgia",Labour,Queen's Park and Maida Vale,House of Commons,London,SW1A 0AA,georgia.gould.mp@parliament.uk
John,Grady,John Grady,"Grady, John",Labour,Glasgow East,House of Commons,London,SW1A 0AA,john.grady.mp@parliament.uk
Helen,Grant,Helen Grant,"Grant, Helen",Conservative,Maidstone and Malling,House of Commons,London,SW1A 0AA,helen.grant.mp@parliament.uk
Sarah,Green,Sarah Green,"Green, Sarah",Liberal Democrat,Chesham and Amersham,House of Commons,London,SW1A 0AA,sarah.green.mp@parliament.uk
Lilian,Greenwood,Lilian Greenwood,"Greenwood, Lilian",Labour,Nottingham South,House of Commons,London,SW1A 0AA,lilian.greenwood.mp@parliament.uk
Andrew,Griffith,Andrew Griffith,"Griffith, Andrew",Conservative,Arundel and South Downs,House of Commons,London,SW1A 0AA,andrew.griffith.mp@parliament.uk
Nia,Griffith,Dame Nia Griffith,"Griffith, Dame Nia",Labour,Llanelli,House of Commons,London,SW1A 0AA,nia.griffith.mp@parliament.uk
Alison,Griffiths,Alison Griffiths,"Griffiths, Alison",Conservative,Bognor Regis and Littlehampton,House of Commons,London,SW1A 0AA,alison.griffiths.mp@parliament.uk
Andrew,Gwynne,Andrew Gwynne,"Gwynne, Andrew",Labour (Co-op),Gorton and Denton,House of Commons,London,SW1A 0AA,gwynnea@parliament.uk
Amanda,Hack,Amanda Hack,"Hack, Amanda",Labour,North West Leicestershire,House of Commons,London,SW1A 0AA,amanda.hack.mp@parliament.uk
Louise,Haigh,Louise Haigh,"Haigh, Louise",Labour,Sheffield Heeley,House of Commons,London,SW1A 0AA,louise.haigh.mp@parliament.uk
Sarah,Hall,Sarah Hall,"Hall, Sarah",Labour (Co-op),Warrington South,House of Commons,London,SW1A 0AA,sarah.hall.mp@parliament.uk
Fabian,Hamilton,Fabian Hamilton,"Hamilton, Fabian",Labour,Leeds North East,House of Commons,London,SW1A 0AA,fabian.hamilton.mp@parliament.uk
Paulette,Hamilton,Paulette Hamilton,"Hamilton, Paulette",Labour,Birmingham Erdington,House of Commons,London,SW1A 0AA,paulette.hamilton.mp@parliament.uk
Claire,Hanna,Claire Hanna,"Hanna, Claire",Social Democratic & Labour Party,Belfast South and Mid Down,House of Commons,London,SW1A 0AA,claire.hanna.mp@parliament.uk
Monica,Harding,Monica Harding,"Harding, Monica",Liberal Democrat,Esher and Walton,House of Commons,London,SW1A 0AA,monica.harding.mp@parliament.uk
Emma,Hardy,Emma Hardy,"Hardy, Emma",Labour,Kingston upon Hull West and Haltemprice,House of Commons,London,SW1A 0AA,emma.hardy.mp@parliament.uk
Carolyn,Harris,Carolyn Harris,"Harris, Carolyn",Labour,Neath and Swansea East,House of Commons,London,SW1A 0AA,carolyn.harris.mp@parliament.uk
Rebecca,Harris,Rebecca Harris,"Harris, Rebecca",Conservative,Castle Point,House of Commons,London,SW1A 0AA,rebecca.harris.mp@parliament.uk
Lloyd,Hatton,Lloyd Hatton,"Hatton, Lloyd",Labour,South Dorset,House of Commons,London,SW1A 0AA,lloyd.hatton.mp@parliament.uk
Helen,Hayes,Helen Hayes,"Hayes, Helen",Labour,Dulwich and West Norwood,House of Commons,London,SW1A 0AA,helen.hayes.mp@parliament.uk
John,Hayes,Sir John Hayes,"Hayes, Sir John",Conservative,South Holland and The Deepings,House of Commons,London,SW1A 0AA,hayesj@parliament.uk
Tom,Hayes,Tom Hayes,"Hayes, Tom",Labour,Bournemouth East,House of Commons,London,SW1A 0AA,tom.hayes.mp@parliament.uk
Claire,Hazelgrove,Claire Hazelgrove,"Hazelgrove, Claire",Labour,Filton and Bradley Stoke,House of Commons,London,SW1A 0AA,claire.hazelgrove.mp@parliament.uk
Chris,Hazzard,Chris Hazzard,"Hazzard, Chris",Sinn Féin,South Down,House of Commons,London,SW1A 0AA,chris.hazzard.mp@parliament.uk
John,Healey,John Healey,"Healey, John",Labour,Rawmarsh and Conisbrough,House of Commons,London,SW1A 0AA,john.healey.mp@parliament.uk
Mark,Hendrick,Sir Mark Hendrick,"Hendrick, Sir Mark",Labour (Co-op),Preston,House of Commons,London,SW1A 0AA,mark.hendrick.mp@parliament.uk
Pippa,Heylings,Pippa Heylings,"Heylings, Pippa",Liberal Democrat,South Cambridgeshire,House of Commons,London,SW1A 0AA,pippa.heylings.mp@parliament.uk
Meg,Hillier,Dame Meg Hillier,"Hillier, Dame Meg",Labour (Co-op),Hackney South and Shoreditch,House of Commons,London,SW1A 0AA,meghilliermp@parliament.uk
Chris,Hinchliff,Chris Hinchliff,"Hinchliff, Chris",Labour,North East Hertfordshire,House of Commons,London,SW1A 0AA,chris.hinchliff.mp@parliament.uk
Jonathan,Hinder,Jonathan Hinder,"Hinder, Jonathan",Labour,Pendle and Clitheroe,House of Commons,London,SW1A 0AA,jonathan.hinder.mp@parliament.uk
Damian,Hinds,Damian Hinds,"Hinds, Damian",Conservative,East Hampshire,House of Commons,London,SW1A 0AA,damian.hinds.mp@parliament.uk
Simon,Hoare,Simon Hoare,"Hoare, Simon",Conservative,North Dorset,House of Commons,London,SW1A 0AA,simon.hoare.mp@parliament.uk
Wera,Hobhouse,Wera Hobhouse,"Hobhouse, Wera",Liberal Democrat,Bath,House of Commons,London,SW1A 0AA,wera.hobhouse.mp@parliament.uk
Sharon,Hodgson,Mrs Sharon Hodgson,"Hodgson, Mrs Sharon",Labour,Washington and Gateshead South,House of Commons,London,SW1A 0AA,sharon.hodgson.mp@parliament.uk
Richard,Holden,Mr Richard Holden,"Holden, Mr Richard",Conservative,Basildon and Billericay,House of Commons,London,SW1A 0AA,richard.holden.mp@parliament.uk
Kevin,Hollinrake,Kevin Hollinrake,"Hollinrake, Kevin",Conservative,Thirsk and Malton,House of Commons,London,SW1A 0AA,kevin.hollinrake.mp@parliament.uk
Paul,Holmes,Paul Holmes,"Holmes, Paul",Conservative,Hamble Valley,House of Commons,London,SW1A 0AA,paul.holmes.mp@parliament.uk
Rachel,Hopkins,Rachel Hopkins,"Hopkins, Rachel",Labour,Luton South and South Bedfordshire,House of Commons,London,SW1A 0AA,rachel.hopkins.mp@parliament.uk
Lindsay,Hoyle,Sir Lindsay Hoyle,"Hoyle, Sir Lindsay",Speaker,Chorley,House of Commons,London,SW1A 0AA,
Nigel,Huddleston,Nigel Huddleston,"Huddleston, Nigel",Conservative,Droitwich and Evesham,House of Commons,London,SW1A 0AA,nigel.huddleston.mp@parliament.uk
Neil,Hudson,Dr Neil Hudson,"Hudson, Dr Neil",Conservative,Epping Forest,House of Commons,London,SW1A 0AA,neil.hudson.mp@parliament.uk
Claire,Hughes,Claire Hughes,"Hughes, Claire",Labour,Bangor Aberconwy,House of Commons,London,SW1A 0AA,claire.hughes.mp@parliament.uk
Dáire,Hughes,Dáire Hughes,"Hughes, Dáire",Sinn Féin,Newry and Armagh,House of Commons,London,SW1A 0AA,daire.hughes.mp@parliament.uk
Alison,Hume,Alison Hume,"Hume, Alison",Labour,Scarborough and Whitby,House of Commons,London,SW1A 0AA,alison.hume.mp@parliament.uk
Jeremy,Hunt,Jeremy Hunt,"Hunt, Jeremy",Conservative,Godalming and Ash,House of Commons,London,SW1A 0AA,huntj@parliament.uk
Rupa,Huq,Dr Rupa Huq,"Huq, Dr Rupa",Labour,Ealing Central and Acton,House of Commons,London,SW1A 0AA,rupa.huq.mp@parliament.uk
Patrick,Hurley,Patrick Hurley,"Hurley, Patrick",Labour,Southport,House of Commons,London,SW1A 0AA,patrick.hurley.mp@parliament.uk
Adnan,Hussain,Mr Adnan Hussain,"Hussain, Mr Adnan",Independent,Blackburn,House of Commons,London,SW1A 0AA,adnan.hussain.mp@parliament.uk
Imran,Hussain,Imran Hussain,"Hussain, Imran",Independent,Bradford East,House of Commons,London,SW1A 0AA,imran.hussain.mp@parliament.uk
Leigh,Ingham,Leigh Ingham,"Ingham, Leigh",Labour,Stafford,House of Commons,London,SW1A 0AA,leigh.ingham.mp@parliament.uk
Natasha,Irons,Natasha Irons,"Irons, Natasha",Labour,Croydon East,House of Commons,London,SW1A 0AA,natasha.irons.mp@parliament.uk
Sally,Jameson,Sally Jameson,"Jameson, Sally",Labour (Co-op),Doncaster Central,House of Commons,London,SW1A 0AA,sally.jameson.mp@parliament.uk
Christine,Jardine,Christine Jardine,"Jardine, Christine",Liberal Democrat,Edinburgh West,House of Commons,London,SW1A 0AA,christine.jardine.mp@parliament.uk
Dan,Jarvis,Dan Jarvis,"Jarvis, Dan",Labour,Barnsley North,House of Commons,London,SW1A 0AA,dan.jarvis.mp@parliament.uk
Liz,Jarvis,Liz Jarvis,"Jarvis, Liz",Liberal Democrat,Eastleigh,House of Commons,London,SW1A 0AA,liz.jarvis.mp@parliament.uk
Bernard,Jenkin,Sir Bernard Jenkin,"Jenkin, Sir Bernard",Conservative,Harwich and North Essex,House of Commons,London,SW1A 0AA,bernard.jenkin.mp@parliament.uk
Robert,Jenrick,Robert Jenrick,"Jenrick, Robert",Conservative,Newark,House of Commons,London,SW1A 0AA,robert.jenrick.mp@parliament.uk
Terry,Jermy,Terry Jermy,"Jermy, Terry",Labour,South West Norfolk,House of Commons,London,SW1A 0AA,terry.jermy.mp@parliament.uk
Adam,Jogee,Adam Jogee,"Jogee, Adam",Labour,Newcastle-under-Lyme,House of Commons,London,SW1A 0AA,adam.jogee.mp@parliament.uk
Caroline,Johnson,Dr Caroline Johnson,"Johnson, Dr Caroline",Conservative,Sleaford and North Hykeham,House of Commons,London,SW1A 0AA,caroline.johnson.mp@parliament.uk
Diana,Johnson,Dame Diana Johnson,"Johnson, Dame Diana",Labour,Kingston upon Hull North and Cottingham,House of Commons,London,SW1A 0AA,johnsond@parliament.uk
Kim,Johnson,Kim Johnson,"Johnson, Kim",Labour,Liverpool Riverside,House of Commons,London,SW1A 0AA,kim.johnson.mp@parliament.uk
Clive,Jones,Clive Jones,"Jones, Clive",Liberal Democrat,Wokingham,House of Commons,London,SW1A 0AA,clive.jones.mp@parliament.uk
Darren,Jones,Darren Jones,"Jones, Darren",Labour,Bristol North West,House of Commons,London,SW1A 0AA,darren.jones.mp@parliament.uk
Gerald,Jones,Gerald Jones,"Jones, Gerald",Labour,Merthyr Tydfil and Aberdare,House of Commons,London,SW1A 0AA,gerald.jones.mp@parliament.uk
Lillian,Jones,Lillian Jones,"Jones, Lillian",Labour,Kilmarnock and Loudoun,House of Commons,London,SW1A 0AA,lillian.jones.mp@parliament.uk
Louise,Jones,Louise Jones,"Jones, Louise",Labour,North East Derbyshire,House of Commons,London,SW1A 0AA,louise.jones.mp@parliament.uk
Ruth,Jones,Ruth Jones,"Jones, Ruth",Labour,Newport West and Islwyn,House of Commons,London,SW1A 0AA,ruth.jones.mp@parliament.uk
Sarah,Jones,Sarah Jones,"Jones, Sarah",Labour,Croydon West,House of Commons,London,SW1A 0AA,sarah.jones.mp@parliament.uk
Lincoln,Jopp,Lincoln Jopp,"Jopp, Lincoln",Conservative,Spelthorne,House of Commons,London,SW1A 0AA,lincoln.jopp.mp@parliament.uk
Gurinder,Singh Josan,Gurinder Singh Josan,"Josan, Gurinder Singh",Labour,Smethwick,House of Commons,London,SW1A 0AA,gurinder.josan.mp@parliament.uk
Sojan,Joseph,Sojan Joseph,"Joseph, Sojan",Labour,Ashford,House of Commons,London,SW1A 0AA,sojan.joseph.mp@parliament.uk
Warinder,Juss,Warinder Juss,"Juss, Warinder",Labour,Wolverhampton West,House of Commons,London,SW1A 0AA,warinder.juss.mp@parliament.uk
Chris,Kane,Chris Kane,"Kane, Chris",Labour,Stirling and Strathallan,House of Commons,London,SW1A 0AA,chris.kane.mp@parliament.uk
Mike,Kane,Mike Kane,"Kane, Mike",Labour,Wythenshawe and Sale East,House of Commons,London,SW1A 0AA,mike.kane.mp@parliament.uk
Satvir,Kaur,Satvir Kaur,"Kaur, Satvir",Labour,Southampton Test,House of Commons,London,SW1A 0AA,satvir.kaur.mp@parliament.uk
Alicia,Kearns,Alicia Kearns,"Kearns, Alicia",Conservative,Rutland and Stamford,House of Commons,London,SW1A 0AA,alicia.kearns.mp@parliament.uk
Liz,Kendall,Liz Kendall,"Kendall, Liz",Labour,Leicester West,House of Commons,London,SW1A 0AA,liz.kendall.mp@parliament.uk
Afzal,Khan,Afzal Khan,"Khan, Afzal",Labour,Manchester Rusholme,House of Commons,London,SW1A 0AA,afzal.khan.mp@parliament.uk
Ayoub,Khan,Ayoub Khan,"Khan, Ayoub",Independent,Birmingham Perry Barr,House of Commons,London,SW1A 0AA,ayoub.khan.mp@parliament.uk
Naushabah,Khan,Naushabah Khan,"Khan, Naushabah",Labour,Gillingham and Rainham,House of Commons,London,SW1A 0AA,naushabah.khan.mp@parliament.uk
Stephen,Kinnock,Stephen Kinnock,"Kinnock, Stephen",Labour,Aberafan Maesteg,House of Commons,London,SW1A 0AA,stephen.kinnock.mp@parliament.uk
Jayne,Kirkham,Jayne Kirkham,"Kirkham, Jayne",Labour (Co-op),Truro and Falmouth,House of Commons,London,SW1A 0AA,jayne.kirkham.mp@parliament.uk
Gen,Kitchen,Gen Kitchen,"Kitchen, Gen",Labour,Wellingborough and Rushden,House of Commons,London,SW1A 0AA,gen.kitchen.mp@parliament.uk
Paul,Kohler,Mr Paul Kohler,"Kohler, Mr Paul",Liberal Democrat,Wimbledon,House of Commons,London,SW1A 0AA,paul.kohler.mp@parliament.uk
Danny,Kruger,Danny Kruger,"Kruger, Danny",Conservative,East Wiltshire,House of Commons,London,SW1A 0AA,
Sonia,Kumar,Sonia Kumar,"Kumar, Sonia",Labour,Dudley,House of Commons,London,SW1A 0AA,sonia.kumar.mp@parliament.uk
Uma,Kumaran,Uma Kumaran,"Kumaran, Uma",Labour,Stratford and Bow,House of Commons,London,SW1A 0AA,uma.kumaran.mp@parliament.uk
Peter,Kyle,Peter Kyle,"Kyle, Peter",Labour,Hove and Portslade,House of Commons,London,SW1A 0AA,peter.kyle.mp@parliament.uk
Laura,Kyrke-Smith,Laura Kyrke-Smith,"Kyrke-Smith, Laura",Labour,Aylesbury,House of Commons,London,SW1A 0AA,laura.kyrkesmith.mp@parliament.uk
Ben,Lake,Ben Lake,"Lake, Ben",Plaid Cymru,Ceredigion Preseli,House of Commons,London,SW1A 0AA,ben.lake.mp@parliament.uk
Katie,Lam,Katie Lam,"Lam, Katie",Conservative,Weald of Kent,House of Commons,London,SW1A 0AA,katie.lam.mp@parliament.uk
Peter,Lamb,Peter Lamb,"Lamb, Peter",Labour,Crawley,House of Commons,London,SW1A 0AA,peter.lamb.mp@parliament.uk
David,Lammy,Mr David Lammy,"Lammy, Mr David",Labour,Tottenham,House of Commons,London,SW1A 0AA,david.lammy.mp@parliament.uk
John,Lamont,John Lamont,"Lamont, John",Conservative,"Berwickshire, Roxburgh and Selkirk",House of Commons,London,SW1A 0AA,john.lamont.mp@parliament.uk
Ian,Lavery,Ian Lavery,"Lavery, Ian",Labour,Blyth and Ashington,House of Commons,London,SW1A 0AA,ian.lavery.mp@parliament.uk
Chris,Law,Chris Law,"Law, Chris",Scottish National Party,Dundee Central,House of Commons,London,SW1A 0AA,chris.law.mp@parliament.uk
Noah,Law,Noah Law,"Law, Noah",Labour,St Austell and Newquay,House of Commons,London,SW1A 0AA,noah.law.mp@parliament.uk
Kim,Leadbeater,Kim Leadbeater,"Leadbeater, Kim",Labour,Spen Valley,House of Commons,London,SW1A 0AA,kim.leadbeater.mp@parliament.uk
Graham,Leadbitter,Graham Leadbitter,"Leadbitter, Graham",Scottish National Party,"Moray West, Nairn and Strathspey",House of Commons,London,SW1A 0AA,graham.leadbitter.mp@parliament.uk
Edward,Leigh,Sir Edward Leigh,"Leigh, Sir Edward",Conservative,Gainsborough,House of Commons,London,SW1A 0AA,edward.leigh.mp@parliament.uk
Brian,Leishman,Brian Leishman,"Leishman, Brian",Labour,Alloa and Grangemouth,House of Commons,London,SW1A 0AA,brian.leishman.mp@parliament.uk
Emma,Lewell-Buck,Mrs Emma Lewell-Buck,"Lewell-Buck, Mrs Emma",Labour,South Shields,House of Commons,London,SW1A 0AA,emma.lewell-buck.mp@parliament.uk
Andrew,Lewin,Andrew Lewin,"Lewin, Andrew",Labour,Welwyn Hatfield,House of Commons,London,SW1A 0AA,andrew.lewin.mp@parliament.uk
Clive,Lewis,Clive Lewis,"Lewis, Clive",Labour,Norwich South,House of Commons,London,SW1A 0AA,clive.lewis.mp@parliament.uk
Julian,Lewis,Sir Julian Lewis,"Lewis, Sir Julian",Conservative,New Forest East,House of Commons,London,SW1A 0AA,
Simon,Lightwood,Simon Lightwood,"Lightwood, Simon",Labour (Co-op),Wakefield and Rothwell,House of Commons,London,SW1A 0AA,simon.lightwood.mp@parliament.uk
Carla,Lockhart,Carla Lockhart,"Lockhart, Carla",Democratic Unionist Party,Upper Bann,House of Commons,London,SW1A 0AA,carla.lockhart.mp@parliament.uk
Seamus,Logan,Seamus Logan,"Logan, Seamus",Scottish National Party,Aberdeenshire North and Moray East,House of Commons,London,SW1A 0AA,seamus.logan.mp@parliament.uk
